"","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-10-01","2021-10-08","2021-10-15","2021-10-22","2021-10-29","2021-11-05","2021-11-12","2021-11-19","2021-11-26","2021-12-03","2021-12-04"
"1","macau","macau","macau","macau","macau","macau","fábricas","papar","produção","produção","produção","sintoma","comboio","francês","voo","delgado","voo","fronteira","fronteira","pequim","pequim","países","países","chinar","chinar","espanha","xinjiang","chinar","unir","reinar","reinar","unir","voo","bélgica","euro","medida","restrições","restrições","confinamento","confinamento","obrigatório","confinamento","natal","restrições","vão","natal","natal","freitas","medida","medida","votar","restaurante","deter","restrições","obrigatório","obrigatório","psp","fronteira","polícia","circulação","ilegal","fronteira","impor","restrições","freguesia","sanitária","sanitária","testar","testar","escola","testagem","evento","testar","testar","testar","testar","riscar","negativar","regra","regra","máscaras","ir","medida","máscara","máscara","estabelecimento","máscara","espaços","restrições","governar","medida","medida","medida","medida","certificar","certificar","aberto"
"2","hong","mil","território","residente","residente","santuário","produção","produção","papar","álcool","francisco","produção","português","votar","roy","obrigatória","fronteira","quarentenar","viagem","mercar","chinar","unir","unir","reinar","xinjiang","unir","passageiro","lista","reinar","unir","unir","reinar","reinar","portugal","habitante","madrid","medida","obrigatório","obrigatório","obrigatório","recolher","impor","dezembro","escola","natal","restrições","máscara","medida","janeiro","confinamento","medida","máscaras","gnr","fronteira","recolher","circulação","viagem","psp","passaporte","páscoa","gnr","impor","fronteirar","gnr","sanitária","imigrante","cercar","negativar","testagem","testar","testar","familiar","evento","cultural","restaurante","restaurante","testar","bar","bar","certificar","máscara","partir","setembro","usar","testar","máscara","usar","certificar","medida","executivo","governar","visita","restaurante","espaços","discoteca","testar","abrir"
"3","governar","casino","residente","exame","mil","diocese","macau","oração","asae","consumar","sintoma","fraqueza","checar","eleições","junho","voo","companhia","terrestre","estrangeiro","voo","fronteira","europeu","quarentenar","países","viagem","reinar","chinar","reinar","lista","viagem","portugal","britânico","unir","viagem","milhões","habitante","confinamento","confinamento","recolher","restaurante","confinamento","obrigatório","confinamento","peixe","noite","confinamento","familiar","festa","vigor","comércio","psp","confinamento","vigor","euro","psp","jornal","polícia","passagem","entrar","entrar","quarentenar","espanha","desporto","fronteira","gnr","odemira","freguesia","freguesia","aluno","voar","estratégia","associação","farmácias","antigénio","associação","farmácias","medido","restaurante","discoteca","mês","medida","máscara","essencial","máscaras","usar","outubro","deixar","discoteca","executivo","medida","máscaras","testagem","obrigatório","ir","medida","negativar","acabar"
"4","kong","jogar","casino","governar","serviços","oração","fábrica","grupar","francisco","escoamento","muscular","febre","apresentado","renovação","lei","junho","tap","turismo","quarentenar","chinãªs","passageiro","lista","reinar","viagem","portugal","lista","reinar","unir","britânicos","corredor","lista","corredor","setembro","restrições","agostar","espanha","primeiroministro","espanhol","emergência","fechar","governar","escola","restrições","confinamento","ir","apelar","regra","graça","regra","recolher","eleitor","deter","confinamento","gnr","impor","usar","medida","janeiro","voo","abril","restrições","restrições","atleta","fechado","apesar","freguesia","odemira","positivar","ensinar","recusar","regressar","cultural","surto","comparticipação","autotestes","associação","restaurante","espaços","ruir","usar","setembro","obrigatório","população","escola","partir","deixar","dever","medida","regional","estabelecimento","públicos","porque","entrar","usar","digital","passageiro","aceitar"
"5","território","território","trabalhador","território","entrar","papar","autoeuropa","vaticano","autoeuropa","agricultura","chamada","muscular","paulo","procedimento","cruzeiro","açores","junho","espanhol","vigor","fronteira","países","reinar","portugal","voo","local","quarentenar","unir","diagnosticado","britânico","estrangeiro","britânico","portugal","portugal","quarentenar","municípios","capital","bar","nova","restrições","bar","restrições","vigor","fechado","níveis","manter","vão","evitar","país","recolher","restaurante","fila","território","obrigatório","ponto","restrições","galiza","gnr","ponto","pedido","restrições","medida","cidade","restrições","enfermeiro","ir","cabra","teotónio","sns","reforçar","retomar","sobretudo","batizados","ministrar","farmácias","medido","estabelecimento","negativar","medida","restaurante","máscara","conselho","medida","testagem","dgs","estudante","discoteca","discoteca","evento","governar","sala","estar","redar","executivo","públicos","janeiro","evento","acelerar"
"6","casino","capital","jogar","mil","alto","celebração","petição","alimentar","doar","francisco","psicológico","menor","sintoma","lei","interdição","quarentenar","férias","estrangeiro","estrangeirar","chinar","espanha","fronteira","aeroporto","aéreas","lista","estrangeiro","viajante","local","país","aeroporto","estrangeiro","lista","restrições","lista","semestre","espanhol","restaurante","medida","decretar","medida","exceções","fechar","medida","dezembro","restaurante","familiar","restrições","janeiro","confinamento","obrigatório","confinamento","obrigatório","medida","obrigatório","carnaval","geral","partir","circulação","confinamento","psp","circulação","vigor","cumprir","fronteirar","cercar","alojamento","trabalhador","época","estudante","migrante","cercar","testar","setor","associação","farmácias","regra","medida","discoteca","restauração","testar","ministro","recolher","máscara","obrigatoriedade","desconfinamento","antar","obrigatório","máscara","máscara","diversão","transmissão","visitante","restrições","miguel","restrições","apresentação","achar"
"7","anunciar","fechar","governar","visitante","pã´r","celebrações","grupar","francisco","álcool","italiano","fernandes","dor","canadá","taxar","prolongar","retomar","fronteirar","aeroporto","singapura","surtir","europeu","portugal","chinar","portugal","passageiro","negócios","comissão","viagem","frança","turista","governar","inglaterra","turismo","voo","ponto","nova","johnson","restaurante","estar","loja","restaurante","propagação","restaurante","rabo","aumentar","máximo","nível","obrigatório","obrigatório","penttinen","obrigatório","usar","decretar","circulação","máscaras","gnr","pessoa","suspensão","patente","vigor","festa","manter","protestar","desfilar","vender","cercar","vão","fonte","saída","isolamento","fernandes","restrições","realizado","rápidos","acesso","negativar","estabelecimento","restauração","bairro","conhecer","ar","usar","usar","utilização","fim","certificar","outubro","livrar","discoteca","públicos","local","certificar","espaços","certificar","contenção","obrigatório","acompanhado"
"8","fechar","milhões","social","hubei","território","seguro","marcar","produzir","empresar","produzir","amazon","respiratórias","planar","notícia","algarve","prática","retomar","espanha","negócios","capital","diagnosticar","corredor","lista","quarentenar","restrições","viagem","local","comissão","impor","foco","corredor","países","britânico","inglaterra","quebrar","encerrar","bori","primeiroministro","medida","nova","primeiroministro","riscar","ir","janeiro","estâncias","escola","festivo","admitir","prolongar","dizer","ruir","estabelecimento","transportar","carnaval","medida","recolher","voo","passageiro","alemanha","proibição","viagem","confinamento","chave","medido","assegurar","eduardo","entrado","cercar","isolamento","testagem","ensinar","casamento","antigénio","recluso","setor","autotestes","serviços","restrições","podar","estabelecimento","reunião","vigor","próximo","espaços","escola","governar","lotação","usar","partir","afirmar","evento","poder","confinamento","obrigatória","obrigatório","açores","acompanhar"
"9","todo","governar","serviços","medida","coordenação","fiéis","fact","check","produzir","fundo","abril","caso","mantêm","controlo","partir","companhia","turismo","negócios","notar","países","capital","viagem","viajante","viajante","noroeste","galiza","viagem","estrangeiro","viagem","aumentar","contaminação","decisão","augusto","reinar","dólares","decretar","alertar","espanha","impor","recolher","entrar","loja","evitar","ir","encontro","pessoa","restaurante","diretorageral","graça","podar","antecipar","polícia","governar","máscaras","proibição","voar","continuar","gnr","paulo","concelho","vigor","medida","propagação","tempo","médicos","paulo","longueiraalmograve","sanitária","digital","cercar","mariano","ministrar","comissão","evento","antigénio","medido","farmácias","fase","estabelecimento","físico","usar","setembro","euro","testagem","ciclo","medida","espaços","espetáculos","visita","fechado","ministrar","afirmar","passar","restrições","restaurante","acesso","aconselhar"
"10","dois","hong","imprensar","israelita","médica","dia","online","fact","pedrar","alívio","mantêm","apresentado","embaixada","orientação","siegfried","pontar","grécia","turista","abrir","autoridade","viagem","pequim","passageiro","unir","britânico","cidadãos","quarentenar","infeções","países","quarentenar","foco","estrangeiro","inglaterra","estadosmembros","restrições","restrições","festa","governar","bar","encerrar","ahresp","bar","novembro","bori","fechar","janeiro","graça","poderão","freitas","medido","incumprimento","medida","ponto","limitações","medido","viagem","antar","incumprimento","deter","obrigatório","concelho","pessoa","fim","vão","pública","trabalhar","gnr","macau","arrancar","ferreiro","fernando","vieira","governar","mês","estabelecimento","certificar","crescimento","possível","testar","lotação","marta","estabelecimento","querer","parlamentar","pintar","exigir","medida","recinto","regra","estar","espaços","situação","envolver","transportar","negativar","estabelecimento","acontecer"
