"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","xi","li","li","xi","trump","trump","trump","trump","vote","trump","vote","election","trump","trump","trump","white","house","trump","president","president","rally","trump","trump","trump","fauci","trump","trump","trump","trump","cdc","trump","biden","giroir","test","cdc","test","test","trump","rally","president","test","election","positive","test","mcconnell","republican","leader","bill","bill","march","biden","biden","trump","republican","mask","house","vote","biden","bill","american","lab","report","blinken","marine","china","eu","uk","european","taiwan","taiwan","job","support","condition","appear","activity","need","white","worker","worker"
"2","meet","xi","xi","president","president","penny","president","president","bill","house","election","vote","president","president","house","trump","trump","president","trump","trump","tulsa","rally","penny","president","house","white","white","president","president","stone","convention","test","test","health","guidance","hick","positive","white","test","trump","positive","passenger","test","positive","house","fund","package","relief","trump","trump","administration","administration","biden","relief","president","bill","bill","harris","house","biden","china","origin","global","world","transmission","european","eu","fund","taipei","island","benefit","likely","patient","condition","identify","detail","house","employee","employee"
"3","president","medium","party","jinping","administration","president","house","house","house","bill","house","trump","governor","donald","president","house","white","house","app","house","trump","president","president","white","trump","president","president","birx","house","trump","republican","trump","harris","house","test","trump","quebec","president","positive","vice","prince","positive","johnson","campaign","relief","stimulus","relief","stimulus","relief","stock","plan","trump","mask","biden","relief","senate","wage","leave","payment","administration","origin","virus","psaki","arkansas","chinese","member","custom","eu","island","chen","enhance","respondent","passenger","learn","paper","fund","psaki","biden","federal"
"4","virus","wenliang","president","chinese","fund","house","white","white","senate","president","leader","voter","republican","tweet","donald","president","president","vote","task","campaign","campaign","white","vice","event","white","house","birx","tweet","white","task","abbott","lab","health","department","air","staffer","white","house","trump","white","trump","ship","grassley","trump","leader","relief","stimulus","billion","payment","house","presidentelect","president","administration","democrat","house","democrat","democrat","business","stimulus","president","theory","animal","china","development","leave","certificate","foreign","van","cecc","taipei","unemployment","poll","postcovid","practice","senior","seek","official","federal","biden"
"5","medium","anger","wenliang","praise","house","white","penny","senate","stimulus","stimulus","pelosi","president","donald","election","congress","administration","vote","white","loan","task","president","campaign","rally","republican","president","task","house","dr","secret","official","rapid","president","trump","mandate","droplet","president","contact","test","event","science","president","test","republican","president","democrat","bipartisan","deal","package","check","end","reserve","executive","standard","budget","committee","package","biden","another","check","bill","redfield","china","campaign","develop","world","fund","european","relief","eu","capital","labor","flight","leave","heart","optimism","simple","young","president","announce"
"6","party","whistleblower","medium","response","response","administration","republican","penny","trump","aide","white","leader","romney","task","administration","test","cdc","brazil","source","meet","oklahoma","house","mask","house","administration","briefing","gohmert","deborah","shoot","victim","biden","administration","brett","target","foot","spa","trace","debate","president","technology","break","poll","meet","loeffler","republican","bill","aid","congress","stimulus","economy","bidens","order","white","house","biden","president","house","american","president","house","biden","source","cause","animal","many","support","proposal","business","taiwans","minister","big","big","fine","severely","participant","maskwearing","president","requirement","official"
"7","epidemic","police","police","whistleblower","white","vice","administration","test","package","democratic","president","senate","democratic","force","task","dr","fauci","app","device","convention","attend","penny","white","convention","dr","fauci","obrien","donald","re","scholarship","tweet","antigen","biden","demand","update","governor","trump","positive","schedule","campaign","news","stock","stock","sen","senate","liability","democrat","trump","senate","vote","trump","white","psaki","resolution","package","pass","relief","increase","american","law","pandemic","organization","share","chinese","address","proposal","passenger","commission","china","taiwans","plan","foreign","violation","particular","sarscov","shot","rodrigo","test","pay"
"8","official","death","jinping","control","request","billion","rep","republican","leader","pelosi","letter","democratic","task","question","intelligence","donald","administration","favor","letter","white","mask","tulsa","house","penny","mcenany","brief","task","task","outside","senior","test","giroir","service","secretary","particle","minnesota","president","schedule","harris","administration","tell","ballot","street","son","bill","billion","bill","payment","pass","donald","joe","house","house","vote","fit","relief","minimum","relief","will","relief","dr","wuhan","administration","source","together","statement","aid","sufficient","central","report","economy","taiwan","federal","relationship","condition","yearolds","biden","will","qantas"
"9","control","lis","whistleblower","revelation","billion","fund","vice","administration","trillion","call","primary","task","virginia","brief","leader","hahn","donald","travel","use","donald","white","task","republican","task","interview","force","claim","think","think","president","administration","rapid","assistant","giroir","post","positive","house","christie","victoria","positive","william","seadream","office","penny","proposal","congress","senate","pass","sign","president","billion","joe","president","pass","trump","committee","president","democrat","biden","psaki","relief","world","olympic","mexican","concern","commission","family","support","epidemic","outbreak","keep","job","diagnosis","inflammation","emerge","initial","meet","announce","care"
"10","state","social","online","quickly","democrat","mike","economic","brazilian","democrat","package","wisconsin","democrat","brief","relief","brief","fauci","tension","obrien","bill","rally","house","vice","task","force","discredit","official","tell","house","presidential","regularly","handle","secretary","equipment","guidance","airborne","vice","home","negative","interview","penny","sun","leave","point","spokesperson","stimulus","democrat","billion","president","president","job","relief","briefing","executive","bill","bill","biden","package","psaki","earn","harris","friday","study","response","cause","approve","foreign","certificate","application","council","around","expectation","attendant","flight","head","note","clean","plan","department","healthcare"
"11","government","die","replace","beijings","penny","vote","familiar","vote","senator","election","court","treasury","liberate","mcconnell","senate","vice","us","proclamation","house","force","wear","force","campaign","vice","secretary","guidance","barr","remove","ask","agency","antigen","us","cnns","screen","control","say","stay","donald","campaign","house","poll","rally","spokesperson","tweet","democratic","senate","house","benefit","package","open","release","federal","bidens","senate","administration","administration","pass","president","vote","promote","opinion","likely","partner","virus","accident","underway","agency","aid","european","restriction","still","pandemic","case","request","high","expert","spread","government","memo"
"12","effort","censorship","doctor","downplay","vice","senate","source","primary","deal","white","voter","mail","house","briefing","tweet","secretary","meet","administration","administration","penny","saturday","donald","tulsa","birx","official","birx","video","interview","brief","officer","binaxnow","contract","national","problem","contact","naidu","gen","event","ibrahim","test","crowd","cruise","senator","personnel","majority","sen","congress","aid","house","send","immediately","us","draft","mask","white","standard","senate","bidens","household","claim","psaki","team","respond","observe","pay","dalai","commission","alongside","transmit","five","miss","employee","asymptomatic","cnn","include","evidence","administration","require","company"
"13","report","crisis","chens","moon","azar","leader","test","secretary","pelosi","penny","republican","governor","penny","biden","force","redfield","obama","freedom","download","republican","event","event","mike","harmless","education","fact","mask","claim","say","house","president","fund","stockpile","asymptomatic","center","guidance","official","biden","contact","end","spokesperson","crow","aide","vice","president","agreement","congressional","house","congress","read","gounder","action","fauci","package","can","psaki","white","member","package","tax","former","leak","neighbor","clinical","peak","lama","donation","trust","command","due","market","parent","airplane","identify","datum","note","life","announcement","require"
"14","jinping","president","chinese","question","xi","package","bolsonaro","vice","republican","vote","warm","white","protester","house","white","selfquarantine","source","penny","pass","email","tell","oklahoma","wear","school","effort","press","hydroxychloroquine","former","hh","coast","million","presidential","app","group","website","quarantine","staff","joe","hold","rally","contact","ben","senate","republican","mnuchin","group","mcconnell","american","direct","back","expand","american","response","president","child","democratic","american","white","relief","will","human","market","raw","efficacy","happen","uk","requirement","india","locally","alert","american","business","common","inequity","complete","illness","mat","vaccinate","bidens"
"15","news","chinese","try","speech","whistleblower","response","brazilian","mnuchin","president","leader","democratic","house","vote","congress","also","task","democratic","basis","summit","party","dart","adviser","force","donald","comment","deborah","think","false","invite","federal","deep","nurse","presidential","symptom","app","member","alone","rally","wife","quarantine","want","trump","veteran","jr","mitch","mcconnell","talk","deal","vote","reach","incoming","psaki","plan","federal","cloth","astm","psaki","message","little","white","wuhan","call","originate","middle","watch","citizen","fund","statement","ban","cecc","childcare","back","fall","high","currently","emergency","question","contractor","step"
"16","outbreak","censor","communist","medium","leader","request","meet","leader","white","familiar","mail","constitution","claim","inside","republican","person","britofernandez","meet","program","protection","interview","attend","birx","remark","press","tell","force","white","biden","deploy","card","say","antigen","know","person","multiple","canada","mask","presidential","cnn","rally","staff","statement","georgia","ambulance","pass","gop","money","money","floor","support","team","filtration","amendment","minimum","bidens","republican","back","senate","plan","embarek","release","virus","confidence","long","pmcares","raab","tweet","city","command","april","maintain","faa","among","index","department","encourage","must","court"
"17","crisis","delete","staterun","tedros","emergency","bill","conservative","bolsonaro","pass","democrat","business","turnout","democrat","state","pelosi","positive","nessel","digital","meet","staff","official","administration","american","claim","person","instead","adviser","widespread","obrador","post","pandemic","nominee","adm","blame","can","income","office","contact","lady","pandemic","disease","political","someone","video","offer","talk","business","rend","mcconnell","oil","package","mask","current","bidens","legislation","mask","manchin","need","trillion","state","virus","human","access","laboratory","infection","side","together","treatment","chen","epidemic","worker","plan","symptom","patient","inform","present","us","regular","white"
"18","people","state","crisis","crisis","criticize","meet","official","economic","member","mnuchin","trump","court","senator","bill","twitter","senate","approve","french","vote","vice","stitt","brief","event","florida","task","jacksonville","louie","coordinator","video","ask","harris","like","really","isolate","transmission","tweet","agency","speech","selfisolating","highlight","fire","cnn","dow","cnn","bipartisan","house","majority","white","republican","rep","member","bidens","federal","check","procedure","money","budget","direct","expect","billion","hypothesis","tedros","secretary","director","get","donation","say","billion","netherlands","precaution","approximately","across","male","schedule","involve","available","video","american","religious"
"19","response","countrys","freedom","xinhua","senate","deal","mike","donald","penny","infrastructure","call","money","northam","ask","physician","stephen","office","donald","code","return","administration","ask","speak","mask","service","claim","security","facebook","room","read","democratic","joe","need","ask","change","negative","canadian","sean","tell","claim","cnn","year","close","rally","collins","deal","local","check","legislation","economic","american","zients","wear","white","payment","vote","bidens","lose","white","infrastructure","gupta","laboratory","remark","investigation","thing","assistance","situation","white","minister","relief","round","american","fair","federal","name","facility","social","attest","visitor"
"20","central","epidemic","speech","phone","re","pass","industry","bill","congress","senate","democrat","hold","protest","azar","attack","memo","top","security","paycheck","despite","donald","think","administration","hahn","political","resume","american","force","lopez","white","berlin","desantis","department","need","language","aide","newsom","physician","governor","office","election","white","pentagon","follow","white","business","bipartisan","fund","unemployment","cut","focus","donald","pandemic","plan","psaki","republican","mark","package","plan","payment","call","embarek","detail","datum","pandemic","border","treatment","day","case","round","effort","show","enforcement","week","ongoing","expect","way","remark","expect"
"21","li","grief","see","hubei","complaint","spend","donald","election","speaker","member","ballot","cast","congress","penny","january","vote","republican","brazils","flexibility","company","projection","saturday","donald","downplay","work","change","rep","administration","administration","national","white","tom","nurse","disease","spread","near","aide","say","negative","essential","british","selfquarantining","sen","negative","pass","proposal","liability","business","benefit","republican","policy","reverse","official","support","pass","legislation","support","republican","psaki","vice","cnn","possible","brief","top","demand","china","community","action","platform","chase","datum","equipment","attendant","year","thousand","israel","expert","source","house"
"22","trump","local","official","handle","mike","american","brief","legislation","sen","congress","package","booth","administration","republican","rapid","staff","vice","sunday","owner","office","mcenany","staffer","cain","mcenany","point","blame","dr","immune","letter","donald","anticipate","card","us","hard","identify","minute","thomas","diagnosis","white","release","video","story","exposure","result","positive","spend","fund","round","american","surprise","congress","office","tell","administration","family","white","ceremony","supporter","pass","trip","believe","lab","national","china","attempt","green","discuss","transport","alert","case","americas","fly","report","people","financial","pfizer","importance","bidens","also"
"23","chinese","government","trump","doctor","official","kit","senate","congress","legislation","economy","senate","committee","michigan","official","hill","official","florida","national","johnson","administration","reiner","mike","brief","comment","time","dr","texas","campaign","person","statement","mcenany","fame","swab","nurse","infect","mask","trudeau","release","exposure","policy","quarantine","amid","quarantine","donald","framework","aide","money","unemployment","amount","congress","possible","focus","provide","bipartisan","american","minimum","legislation","jen","per","little","recognize","tuesday","organization","demand","halt","mitigation","waive","thank","capital","philippines","water","majority","also","ability","phase","disease","try","veteran","vaccinate"
"24","staterun","jinping","die","li","chinese","secretary","aide","say","schumer","vice","treasury","mcconnell","white","ecuador","speaker","pences","official","decision","white","committee","crowd","political","trip","official","instead","metro","doctor","coronavirus","reporter","joe","statement","seaver","nominee","document","dog","travel","spokesperson","supporter","result","event","palace","tell","attend","guideline","billion","lawmaker","republican","direct","floor","will","promise","azar","office","trillion","democrat","label","increase","house","money","former","support","investigation","reach","transparent","scale","can","statement","book","new","tweet","report","investment","propose","able","obtain","ability","member","expect","home"
"25","daily","december","provincial","supermarket","question","effort","cpac","brief","voice","whitmer","block","administration","bipartisan","aide","panel","food","leader","crisis","let","let","force","republican","texas","senate","familiar","donald","near","criticize","us","mourn","campaign","baseball","mandate","care","say","control","member","symptom","adams","court","williams","spend","expose","inconclusive","campaign","white","source","spend","provide","apply","manufacture","will","us","senator","credit","next","year","joe","income","republican","house","joint","american","roll","sufficient","transport","speak","prioritize","begin","addition","due","taipei","experience","abroad","experiment","able","press","state","companys"
"26","white","official","government","share","effort","go","lawmaker","pass","negotiation","former","bill","poll","stayhome","leader","dalai","remotely","interview","entry","privacy","campus","cnn","secret","senate","american","mcconnell","know","coordinator","twitter","email","make","app","use","information","whether","prevention","lot","next","risk","meet","mike","go","negative","composite","election","fund","benefit","leadership","economic","income","request","fund","osterholm","whether","reconciliation","wage","american","process","bloc","family","serve","president","december","us","expose","visa","concern","canada","hungary","beijing","surround","rescue","industry","group","access","mitigate","abroad","describe","mat","search"
