"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","go","like","video","lor","hotel","toilet","store","store","lockdown","lockdown","india","lockdown","lockdown","india","reopen","allow","allow","will","reopen","reopen","reopen","reopen","reopen","restaurant","indoor","restaurant","bar","bar","restaurant","restaurant","close","county","dine","county","indoor","north","quebec","qingdao","wisconsin","asymptomatic","asymptomatic","contact","facility","korea","north","south","south","case","korea","korea","cluster","player","australia","game","game","game","crowd","walk","yacht","seoul","trial","trial","fauci","fauci","fauci","school","kit","level","taiwan","central","like","department","californians","black","mask","ema","state","biden","worker"
"2","wuhan","go","cnn","hotel","employee","hotel","like","delivery","india","india","lockdown","india","india","restriction","allow","will","will","reopen","phase","allow","phase","restaurant","restaurant","reopen","order","business","gym","indoor","reopen","indoor","restaurant","task","county","without","israel","import","case","christie","conference","program","xinjiang","staff","south","north","korea","korea","korea","cluster","south","case","religious","quarantine","event","australia","fan","victoria","japan","anxiety","reduce","foreign","datum","fauci","anthony","disease","mask","child","global","step","taipei","taiwan","south","card","outside","city","city","vaccine","child","worker","biden"
"3","one","empty","tell","employee","zone","paper","code","customer","store","modi","slum","store","beach","will","will","reopen","reopen","allow","allow","will","allow","phase","phase","bar","reopen","indoor","restaurant","restaurant","guest","meet","bar","iowa","indoor","israel","restaurant","bar","daily","city","mexico","kashgar","voter","election","korea","korean","un","korean","seoul","south","case","kdca","south","australian","olympic","mcgowan","player","japan","recommendation","indiana","colleague","test","astrazeneca","variant","institute","anthony","vaccinate","swaminathan","lockdowns","emerge","central","island","central","vaccination","concert","new","go","rate","vaccination","federal","employee"
"4","get","street","watch","man","restaurant","buy","mask","will","food","indian","indian","indian","restriction","restaurant","restriction","lockdown","lockdown","june","restriction","capacity","will","park","gov","phase","restaurant","bar","gathering","order","limit","reopen","business","zone","zone","netanyahu","case","dine","week","office","state","city","south","south","spokesperson","south","china","north","case","nsw","locally","authority","korea","tennis","game","test","hotel","cluster","indoor","set","occupancy","korean","efficacy","disease","infectious","laboratory","spain","fauci","step","immunization","island","government","bank","angeles","period","mayor","half","american","school","employee","federal"
"5","mask","social","want","fear","customer","customer","shanghai","shop","worker","migrant","dharavi","modi","indian","reopen","lockdown","indian","distance","restaurant","will","open","outdoor","disney","bar","gov","bar","close","beach","open","business","per","index","nasdaq","restaurant","indoor","spike","indoor","canada","evers","west","wisconsin","test","poll","staff","facility","koreas","foreign","kdca","seoul","transmit","south","expire","open","quarantine","tokyo","melbourne","olympic","park","success","childcare","apple","dsmb","vaccine","disease","allergy","child","covaxin","child","serum","level","sisodia","colombia","contract","card","now","say","effort","proof","requirement","president"
"6","video","video","cancellation","toilet","robot","supermarket","toilet","food","indias","food","store","extend","delhi","indian","ease","railway","activity","restriction","shop","indoor","seat","july","indoor","gym","state","carolina","close","baker","bar","limit","finish","capacity","bar","case","canadian","area","stay","citys","de","xinjiang","mass","facility","prime","seoul","border","kim","cluster","sydney","test","cluster","kdca","flight","cat","australian","super","league","relay","can","risk","worker","concern","anthony","national","infectious","wear","person","hotspot","just","cecc","outbreak","paho","los","protocol","bank","behavior","effect","student","president","bidens"
"7","face","medium","mask","video","mask","australia","allow","payment","restaurant","indias","mumbai","shop","shop","beach","restaurant","age","restaurant","ease","resume","outdoor","indoor","indoor","dine","indoor","outdoor","open","business","state","angeles","officer","nasdaq","indoor","capacity","will","outdoor","case","new","mass","western","friend","korea","korea","seoul","city","measure","indonesia","area","link","fan","local","open","melbourne","australian","player","athlete","postpone","covering","emerge","tracker","digital","disease","efficacy","dr","national","someone","maharashtra","clear","wave","city","chen","vice","incident","follow","quarter","early","produce","immunization","test","will"
"8","store","food","message","ask","costa","like","driver","business","service","shop","shop","restaurant","will","allow","train","ease","restriction","bar","june","restriction","park","business","plan","governor","gov","outdoor","indoor","business","event","sept","sp","force","open","limit","official","executive","warn","test","declare","mass","quarantine","guest","distance","locally","south","minister","beach","korea","mass","area","recommendation","room","year","prefecture","move","andrews","remove","gov","request","south","release","datum","hospitalization","effective","though","impose","continue","mat","new","taipei","mexico","decline","rate","see","distance","receive","cnn","will","meet"
"9","now","wear","father","face","red","panic","tourist","chain","shop","delhi","delhi","nationwide","nationwide","measure","shop","outdoor","remain","distance","can","phase","capacity","dine","will","will","seat","dine","zone","reopen","bogota","location","time","red","cuomo","cynon","spread","previous","alone","case","adams","statement","region","expose","veteran","symptom","authority","agency","import","new","local","detention","desantis","hotel","sport","man","open","fiveday","can","community","spend","embassy","tuesday","moderna","level","efficacy","national","think","head","three","sisodia","city","june","county","newsom","year","quarter","conclude","tennessee","require","memo"
"10","people","face","look","room","ask","town","hotel","supermarket","indian","minister","restaurant","reopen","reopen","lockdown","indian","restriction","curfew","business","business","restaurant","restaurant","allow","pause","dine","governor","department","state","gathering","around","open","store","close","metro","rhondda","emirate","quebec","home","cluster","reverse","commission","case","amid","center","level","seoul","koreas","wale","beach","beijing","shijiazhuang","total","tournament","kdca","lockdown","event","lockdown","play","three","world","mandatory","monitor","infectious","close","develop","pfizer","fulltime","six","rest","delhi","taiwans","strike","age","physical","compare","level","protein","gov","government","require"
