"","2020-01-31","2020-02-07","2020-02-14","2020-02-20","2020-02-28","2020-03-06","2020-03-13","2020-03-19","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-24","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-12","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-17","2020-12-24","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-06","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-10","2021-06-17","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-09-29","2021-10-08","2021-10-15","2021-10-22","2021-10-27","2021-11-05","2021-11-12","2021-11-19","2021-11-25","2021-12-03","2021-12-10","2021-12-11"
"1","can","re","bus","go","trump","trump","trump","court","trump","trump","trump","trump","trump","trump","trump","trump","trump","trump","trump","trump","twitter","trump","california","trump","fauci","trump","trump","trump","trump","trump","trump","house","trump","trump","trump","trump","trump","trump","investigation","trump","trump","biden","blog","trump","biden","trump","twitter","trump","blog","twitter","twitter","police","hong","police","blog","feel","event","tokyo","fan","study","olympic","event","tokyo","olympic","japan","twitter","blog","blog","blog","blog","blog","blog","blog","blog","blog","blog","blog","blog","coverage","youtube","blog","pandemic","ivermectin","guardian","woman","blog","cancer","wait","staff","nhs","blog","nhs","australia","australia","samantha","blog","blog","blog","next"
"2","people","like","summit","university","us","think","president","house","donald","us","wish","white","governor","twitter","white","white","donald","twitter","twitter","rally","tip","rally","donald","blog","trump","blog","house","donald","taiwan","election","convention","trump","president","president","election","white","president","donald","inquiry","president","biden","trump","trump","thanksgiving","fauci","giuliani","trump","service","twitter","indigenous","everyone","twitter","police","party","police","tip","olympic","st","safely","blog","twitter","concert","feel","tokyo","blog","london","police","end","live","live","take","can","hour","le","follow","film","thank","live","blog","sky","coverage","coverage","read","coverage","blog","gp","blog","nhs","nhs","blog","winter","today","samantha","lock","lock","hello","lock","global","development"
"3","get","can","mp","hear","american","question","us","white","us","re","recovery","reopen","white","house","house","house","blog","via","please","blog","live","campaign","american","message","twitter","white","white","democrat","us","blog","house","hello","want","herd","voter","president","white","president","afp","donald","election","us","hello","donald","us","biden","hello","team","thank","thank","blog","blog","twitter","live","story","travel","game","feel","celebrate","woman","child","can","measure","party","tokyo","blog","uk","street","close","hello","protester","sparrow","news","lane","martin","violence","coverage","hour","thank","australia","port","blog","drug","blog","late","doctor","now","long","screen","thank","development","key","live","bring","blog","lock","australia","development","proportion"
"4","know","teacher","go","live","look","president","mike","trial","president","get","boris","donald","blog","blog","blog","blog","bill","donald","blog","twitter","hello","tulsa","blog","donald","blog","us","republican","house","donald","vote","republican","biden","play","colleague","blog","donald","house","house","trump","rally","voter","election","election","us","trump","us","american","thank","defence","can","touch","mthembu","tip","attend","england","news","tokyo","without","event","pregnant","hello","host","hand","game","osaka","antilockdown","yohannes","madrid","twitter","twitter","protest","colleague","twitter","make","touch","mayor","world","doctor","global","factory","tax","read","blog","aboriginal","australia","australia","follow","follow","nurse","can","nhs","development","bring","live","development","samantha","samantha","live","chaos"
"5","re","go","get","student","know","us","national","crown","york","brief","white","get","us","touch","donald","donald","twitter","tip","email","can","email","us","arizona","florida","us","house","video","airline","taiwans","live","pelosi","please","biden","nhs","thing","wish","debate","campaign","question","white","blog","house","tip","white","presidentelect","donald","white","house","can","blog","hello","coverage","kong","fine","live","airline","blog","japanese","message","antibody","email","blog","coverage","cancel","japans","protest","crowd","responsibly","service","back","twitter","fan","hello","fashion","near","gun","unrest","coverage","live","animal","billionaires","found","coverage","ivermectin","thank","kenney","can","list","exercise","staff","live","blog","late","will","uk","death","live","share","work"
"6","need","know","someone","speak","penny","penny","think","us","xi","york","brief","blog","dr","fauci","task","twitter","house","american","tip","email","please","blog","bar","state","governor","life","democrat","republican","china","postal","biden","twitter","us","biden","never","house","donald","biden","land","focus","us","joe","touch","blog","joe","joe","house","twitter","military","australian","border","south","email","twitter","tip","email","organiser","british","old","protection","class","twitter","like","japan","prefecture","police","coverage","police","email","uk","shop","andrew","live","bike","pet","late","cuba","development","hour","attack","trump","mark","market","western","western","hand","energy","live","need","help","thank","winter","lock","samantha","late","live","development","hello","live"
"7","us","post","speak","correspondent","think","get","house","trump","twitter","white","good","house","donald","white","administration","get","email","blog","touch","tip","trump","texas","order","twitter","donald","donald","president","us","president","house","american","obrador","deadly","downplay","good","vote","conley","guthrie","email","obama","rally","white","twitter","american","anthony","administration","colleague","take","mask","proposal","share","feel","officer","contest","twitter","via","relay","spike","stay","stage","event","tokyo","blog","now","emergency","offence","lowe","spanish","hello","lowe","thank","live","pilgrimage","colleague","please","job","back","sparrow","twitter","region","mexico","global","inmate","thank","story","backlog","online","blog","service","treat","along","bring","development","late","will","development","hello","lock","story"
"8","virus","coverage","attend","know","re","information","get","blog","blog","president","borisjohnson","us","cuomo","donald","fauci","please","colleague","email","comment","hello","blog","re","texas","surge","york","thank","donald","president","election","democrat","white","fee","american","hand","tip","voter","test","rally","white","house","colleague","blog","thank","house","administration","twitter","donald","ambulance","arm","committee","lee","tip","blog","blog","white","twitter","organise","event","blog","sri","blog","final","venue","twitter","request","today","tomorrowspaperstoday","mask","refugee","rhi","hundred","thank","take","update","tip","update","pandemic","hello","cower","welcome","roll","basis","compensation","australia","coverage","cope","target","england","patient","patient","late","coronavirus","blog","blog","campbell","uk","covid","continue","late"
"9","live","get","thing","home","wash","re","federal","get","fauci","blog","donald","dr","house","state","twitter","fauci","please","house","thank","live","oklahoma","please","surge","us","hello","lópez","storm","election","azar","twitter","president","president","donald","via","hello","us","presidential","white","leppington","twitter","ballot","presidentelect","biden","twitter","american","american","us","biden","share","voice","news","hello","inside","road","gathering","air","coverage","japans","inmate","twitter","game","cup","close","like","twitter","tweet","action","emergency","can","storer","hour","tony","tip","late","update","global","roll","colleague","professional","promote","inequality","suppose","prescribe","global","dr","politic","along","coverage","breast","eligible","miss","late","uk","sydney","lucy","zeman","uk","late","hour"
"10","uk","describe","blog","near","administration","lot","blog","pandemic","brief","house","johnson","can","touch","coverage","taskforce","damien","touch","get","re","drop","comment","donald","state","hello","cuomo","american","twitter","american","tsai","hello","donald","get","woodward","never","biden","offer","biden","hello","mccartney","medium","hello","republican","please","news","republican","vaccine","location","global","tip","next","tip","breach","coverage","kurz","zoom","story","radio","cyprus","full","baby","aboriginal","fan","send","nikai","feel","arrest","tip","feel","feel","now","lockdowns","news","taylor","paris","bangladesh","thank","cuban","thank","hello","video","thank","thank","video","can","north","late","spend","grow","can","live","today","uk","sydney","campbell","shortly","weekweek","let","andrew","order"
"11","medium","seem","contact","us","go","house","everyone","go","chinese","donald","get","governor","brief","get","thank","soon","republican","re","via","coverage","texas","twitter","trump","comment","tip","tip","fauci","white","collins","update","hello","poll","panic","twitter","job","ballot","sean","florida","icac","hello","donald","vote","colleague","biden","president","york","spokeswoman","white","test","hello","church","via","development","organiser","month","road","thank","exemption","via","match","secretary","sport","shadow","option","tourism","request","hundred","read","home","rest","back","martin","fan","email","woman","woman","read","twitter","pandemic","economic","wealth","mass","global","warn","site","follow","gp","thank","lose","winter","moment","emerge","will","development","world","next","sydney","today","get"
