"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","year","year","plant","business","business","employee","employee","store","close","store","park","store","beach","salon","close","paris","distance","mayor","guideline","county","mask","mask","beach","mask","mask","mask","mask","mask","mask","church","south","south","beach","south","distance","bannister","gen","financial","season","order","korea","taiwan","tedros","world","moore","jones","degree","florida","degree","prisoner","pope","smell","team","market","wuhan","market","chinese","china","treatment","foot","cdc","walensky","walensky","wear","mask","mask","mask","mask","mask","mask","mask","mask","mask","white","los","remove","angeles","city","city"
"2","student","student","student","company","company","company","parade","close","park","park","store","employee","company","restaurant","park","mask","beach","beach","cdc","covering","county","wear","mask","wear","wear","wear","wear","wear","wear","south","korea","korea","weekend","social","social","police","chief","lincoln","member","protester","south","korea","korea","organization","ice","system","store","desantis","registry","facility","francis","sense","chinese","wuhan","china","virus","shum","origin","reduction","distance","distance","surge","surge","surge","child","outdoor","vaccinate","wear","wear","wear","wear","wear","wear","subject","delta","contact","los","de","de"
"3","lunar","store","auto","economy","employee","work","company","restaurant","restaurant","company","employee","plant","wear","wear","distance","river","park","weekend","police","beach","covering","county","county","beach","mandate","mandate","face","mandate","email","seoul","seoul","church","south","gathering","ardern","distance","wall","police","amazon","ice","confirm","south","seoul","tedros","spin-dry","information","desantis","ohio","mountain","crew","vatican","taste","investigation","team","chinese","china","actually","exist","monoclonal","school","official","mask","dr","system","gupta","vaccinate","get","vaccinate","vaccinate","guidance","guidance","require","require","must","area","infect","county","blasio","blasio"
"4","new","holiday","part","many","survey","seattle","event","delivery","store","employee","business","restaurant","store","mask","beach","park","tourist","city","mayor","mask","wear","disney","order","order","mayor","face","mandate","face","garcetti","mask","order","kcdc","korea","swaminathan","south","bell","thomas","come","visa","criminal","order","world","bell","wale","box","clinic","florida","dewine","spains","detention","zoo","cathedral","wuhan","visit","team","ben","virus","chinese","help","student","certificate","right","rochelle","mask","wear","wear","wear","guidance","guidance","distance","vaccinate","indoor","cuomo","restriction","comment","quarantine","mask","angeles","york"
"5","will","close","economy","warn","many","festival","disney","order","business","furlough","beach","food","employee","food","store","tribe","venice","distance","county","distance","enforce","face","wear","mandate","order","cover","social","distance","face","korea","area","limit","gather","rally","zealand","social","army","store","backstop","victim","protest","ministry","act","korea","tedros","officer","temperature","olympic","celsius","prison","outbreak","begin","origin","china","embarek","wuhan","china","panel","metric","six","slow","us","director","forecast","need","fully","cdc","indoor","require","social","unvaccinated","guidance","setting","center","executive","work","patient","proof","mayor"
"6","school","business","business","half","production","amazon","st","bar","will","florida","restaurant","close","meter","close","wear","public","reopen","crowd","mask","public","guest","california","mandate","county","face","order","hong","social","gathering","korean","indoor","rally","area","korea","auckland","officer","police","several","office","milan","north","castex","worker","belgian","hannan","freezer","celsius","launch","minus","yoon","prince","security","outbreak","bat","human","researcher","market","virus","show","physical","stay","restriction","still","arkansas","get","guidance","guidance","require","fully","vaccinate","lift","outdoor","protocol","still","email","clean","university","mayor","require"
"7","cancel","school","industry","student","ash","business","patricks","park","beach","close","shop","shop","reopen","store","employee","close","disney","bed","vehicle","production","abbott","covering","mayor","face","miami","mayor","order","issue","mandate","mandatory","kcdc","gathering","saturday","distance","minister","shirley","positive","event","winter","binaxnow","korean","meet","suffer","outbreak","material","message","cold","ceremony","fahrenheit","outbreak","interview","lose","campus","central","visit","embarek","collins","zhong","regard","apart","put","prevention","now","walensky","just","cdc","immunity","people","prevention","progress","disease","cdc","outdoor","economic","academy","adams","island","los","proof"
"8","beijing","operation","factory","apple","factory","holi","office","employee","desantis","open","close","business","shop","nail","mask","distance","allow","memorial","beach","safety","require","park","face","mayor","fine","covering","indoor","indoor","social","order","link","mask","labor","sunday","local","risk","gather","mistake","city","body","funeral","island","veteran","country","keep","florida","storage","amid","temperature","inmate","facility","sharply","world","origin","market","chinese","seafood","year","jha","cdc","numb","dr","us","august","demand","people","likely","disease","us","face","control","school","long","attend","rate","layer","hotez","support","restaurant"
"9","holiday","tourism","year","plant","good","sxsw","visitor","takeout","mayor","beach","company","covering","mask","plant","salon","rule","meter","park","guest","protocol","election","public","public","distance","people","suarez","household","order","distance","authority","church","link","kcdc","long","measure","daughter","isolate","group","major","raise","press","status","south","prevent","shipment","state","company","ron","system","small","ii","vatican","complete","virus","origin","mission","origin","inspection","declare","massachusetts","report","biden","center","warn","arm","still","think","think","center","center","mandate","guideline","announce","household","base","wear","health","bill","vaccination"
"10","university","lunar","close","employee","already","european","cancel","resort","order","disney","food","company","foot","face","reopen","enforce","social","police","worker","film","face","disneyland","los","public","beach","will","kong","email","box","wear","province","bar","seoul","saturday","rule","die","wait","assessment","guidance","police","accord","foreign","save","represent","offer","access","freezer","mandate","thing","make","take","investment","virus","know","virus","outbreak","huanan","part","ahead","recommend","dark","doom","go","many","surge","biden","walensky","fully","still","require","prevention","cuomo","rule","jackson","angeles","important","hospital","increase","enter"
"11","february","industry","holiday","close","week","gathering","festival","beach","closure","city","app","grocery","worker","business","social","officer","spring","holiday","weekend","physical","secretary","resident","weekend","resident","re","mandatory","outdoor","ihme","hampshire","gathering","county","region","affiliate","ban","restriction","carolina","interview","metro","police","reopen","among","member","death","eu","un","cleveland","ice","energy","early","schedule","channel","invite","quarantine","investigator","animal","examine","chain","human","infection","three","cruise","slow","cdc","see","official","update","fully","get","mandate","mandate","require","monday","still","now","chief","eligible","new","weekly","pass"
"12","close","extend","company","work","mass","twitter","statement","theater","florida","will","bar","customer","business","social","facility","disney","rest","social","crowd","guest","order","order","require","suarez","cover","business","require","gathering","duke","sarangjeil","metropolitan","face","rally","measure","country","event","man","organizer","bolsonaro","space","prime","claim","hand","von","paige","gun","fedex","successful","month","olympic","catch","option","twoweek","quarantine","product","pick","trace","help","human","rule","approximately","governor","wear","predict","expert","expect","indoor","prevention","say","go","go","mandate","face","stop","decision","offer","table","county","show"
"13","chinese","february","outbreak","expect","economy","event","work","casino","bar","desantis","facility","face","furlough","beach","grocery","reservation","account","icu","shift","visitor","dallas","mandate","covering","fine","suarez","city","gym","outdoor","rule","religious","close","seoul","august","party","korea","teacher","authority","field","observe","view","law","despite","health","health","dos","agent","tray","never","use","mental","member","catch","koopmans","though","outbreak","single","report","find","patient","study","decline","case","mask","part","vaccinate","prevention","outdoor","still","guideline","friend","center","people","include","turn","highly","distance","davis","health","new"
"14","public","due","hit","reopen","church","modi","business","will","nonessential","closure","meal","shut","plant","employee","order","salon","officer","bar","fine","return","wash","mandatory","kemp","executive","public","requirement","covering","public","public","jun","gathering","people","social","maintain","seoul","people","event","family","gottlieb","louis","transmit","right","economy","putin","action","ohio","dewine","workforce","decline","suga","around","doctor","student","evolve","finding","origin","supply","context","disease","find","criticize","control","say","response","previous","guideline","say","guideline","disease","american","ask","transportation","individual","tweet","continue","agency","increase","will","will"
