"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","sars","sars","sars","journal","military","south","pope","order","order","order","order","order","school","reopen","reopen","reopen","reopen","reopen","reopen","reopen","reopen","reopen","beach","restaurant","york","pool","bar","de","restaurant","mask","hand","indoor","dine","will","will","bar","restaurant","restriction","restriction","lockdown","will","mink","restriction","will","will","california","restriction","uk","ban","will","passenger","school","travel","mask","mask","travel","travel","mandate","mask","city","test","variant","variant","fauci","mask","mask","mask","mask","mask","mask","mask","mask","good","zone","provide","fauci","booster","cuomo","fda"
"2","outbreak","baby","syndrome","expulsion","korea","kim","census","store","restaurant","stayhome","jail","school","student","beach","will","allow","will","will","phase","restriction","phase","phase","will","beach","bar","police","test","state","city","indoor","face","reopen","restaurant","mayor","restaurant","restaurant","will","government","restaurant","restriction","prime","farm","mink","restriction","restriction","region","california","travel","uk","restriction","uk","travel","ban","airline","passenger","government","tanzania","mask","mandate","police","order","mask","dr","infectious","wear","outdoor","wear","wear","vaccinate","fauci","fauci","activity","fine","region","rule","booster","meet","review","mandate"
"3","infect","infect","kill","sars","personnel","korea","korea","restaurant","home","essential","school","mayor","beach","allow","school","will","allow","allow","allow","allow","allow","will","gov","gov","cuomo","mandate","giroir","city","york","order","mask","theater","mayor","restaurant","minister","restriction","restriction","local","will","restaurant","restriction","restaurant","will","lockdown","school","order","capacity","restriction","negative","french","airline","restriction","uk","transportation","travel","restriction","international","texas","business","mask","mask","walensky","director","anthony","fauci","vaccinate","fauci","guidance","fully","wear","email","wear","violation","enter","amount","institute","pfizer","authorization","virginia"
"4","virus","kill","acute","originate","exercise","military","measure","food","store","gov","county","county","will","salon","allow","park","school","park","will","will","will","rule","bar","will","indoor","mask","order","rio","mayor","city","will","outdoor","allow","must","level","merkel","close","city","city","bar","measure","will","restaurant","indoor","blasio","restriction","county","france","variant","travel","negative","uk","measure","order","rule","mask","temperature","business","city","thing","von","case","fauci","wear","vaccinate","wear","guidance","fauci","fauci","employee","disease","ask","face","home","time","authorization","need","emergency","tyson"
"5","week","mother","north","chinese","north","korean","south","essential","stay","store","detainee","will","distance","will","park","plan","restaurant","phase","restaurant","open","restriction","business","county","reopen","restaurant","quest","gym","mandate","mask","mayor","indoor","location","indoor","open","open","must","business","uk","level","local","lockdown","bar","bar","allow","allow","san","san","flight","flight","variant","flight","minister","country","quarantine","negative","rule","rule","abbott","require","miami","never","michigan","walensky","mask","get","people","distance","mandate","guidance","vaccinate","wear","fauci","mask","national","still","company","brief","full","firm"
"6","respiratory","syndrome","respiratory","low","robot","toilet","mask","close","service","home","gov","distance","hong","restaurant","student","mask","distance","beach","restriction","border","capacity","july","reopen","cuomo","order","restaurant","indoor","gathering","blasio","mandatory","storm","city","seat","netanyahu","restriction","rule","york","will","allow","pm","hungary","restriction","limit","christmas","de","county","cuomo","ban","test","flight","french","lift","mask","restriction","restriction","standard","tourism","lift","lift","beach","want","governor","infectious","model","anthony","guidance","cdc","vaccinate","wear","appropriation","guidance","outdoor","ask","prize","arizona","efficacy","company","floor","cuomo"
"7","around","acute","global","foreign","troop","paper","vatican","grocery","close","church","close","inmate","year","school","ease","restaurant","phase","open","june","limit","indoor","park","indoor","county","county","mayor","face","janeiro","governor","local","bar","will","gov","allow","place","mask","code","england","government","will","minister","lockdown","farm","gathering","christmas","valley","newsom","kent","arrive","uk","country","ban","restriction","federal","hotel","label","transport","governor","wear","johnson","several","like","anthony","variant","encourage","fauci","walensky","indoor","require","distance","infectious","say","social","bar","border","come","federal","application","authorization"
"8","market","jump","much","reporter","scale","firefighter","religious","delivery","business","stay","stay","shop","california","shop","beach","distance","order","june","resume","capacity","outdoor","restaurant","restaurant","bar","new","face","restaurant","mask","distance","de","order","york","bar","business","expect","capacity","court","indoor","bar","business","pm","pm","lockdown","store","order","capacity","los","variant","require","restaurant","measure","border","standard","airport","uk","ash","fitness","greg","order","decision","stay","us","go","us","infection","fully","vaccinate","guideline","prevention","guidance","cruise","dr","faa","italian","clear","child","official","rule","university"
"9","scientist","respiratory","oil","cotton","inside","festival","store","bar","essential","close","sheriff","student","allow","wear","close","school","restriction","restaurant","open","june","open","disney","phase","order","close","sample","mask","mayor","use","will","laura","capacity","cuomo","limit","pm","indoor","indoor","manchester","region","must","zone","government","ban","uk","business","southern","restaurant","kingdom","passenger","france","france","order","hotel","passenger","worship","test","storage","gov","issue","savannah","flight","director","think","august","child","dr","get","change","guideline","national","institute","disease","agency","social","deal","tell","datum","today","institution"
"10","far","study","contain","street","south","station","mission","service","grocery","food","park","gathering","social","nail","store","age","beach","distance","outdoor","outdoor","restaurant","indoor","close","governor","state","giroir","mandate","york","policy","flight","mayor","limit","police","enter","turn","outdoor","gathering","tier","curfew","macron","allow","cull","order","limit","minister","area","angeles","port","traveler","measure","school","measure","school","announcement","canada","church","apply","pope","gov","mayor","lift","slavitt","spread","institute","end","cdc","dr","friday","disease","get","allergy","think","positive","venue","despite","announcement","fiscus","house","trial"
