"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","level","li","li","xi","xi","toilet","mask","restaurant","restaurant","store","store","store","wear","mask","reopen","reopen","reopen","reopen","phase","reopen","reopen","business","beach","beach","indoor","mask","require","rio","restaurant","mask","mask","reopen","dine","will","restaurant","restaurant","will","restriction","restriction","lockdown","restriction","restriction","restriction","restriction","restriction","restriction","restriction","uk","variant","variant","test","player","quarantine","quarantine","quarantine","auckland","quarantine","vatican","travel","travel","putin","travel","travel","seat","emission","oxygen","oxygen","india","direct","study","email","bill","claim","medicaid","outside","risk","vaccine","dose","blasio"
"2","xi","xi","chen","president","chinese","mask","collapse","store","store","amazon","park","wear","shop","wear","will","will","school","will","reopen","phase","phase","reopen","county","county","order","face","gym","bar","georgia","order","business","indoor","allow","restriction","minister","bar","restaurant","government","restaurant","will","will","restaurant","limit","will","restaurant","will","christmas","variant","uk","test","passenger","quarantine","travel","test","hotel","zealand","travel","enter","industry","airport","kremlin","airline","man","middle","emergent","india","aid","supply","country","ema","shop","supply","benefit","service","eat","study","probably","dos","will"
"3","control","medium","xi","medium","wuhan","paper","hank","food","amazon","food","beach","mask","store","reopen","restaurant","allow","will","school","allow","allow","capacity","county","order","order","restaurant","wear","mask","restaurant","social","indoor","face","allow","restaurant","bar","bar","restriction","restriction","local","government","restriction","zone","lockdown","restaurant","lockdown","open","measure","measure","flight","traveler","travel","uk","flight","uk","hotel","test","quarantine","international","israeli","airline","air","travel","see","zealand","expose","claim","send","india","organization","group","janssen","shipment","stockpile","lender","enrollment","model","disease","definitely","vaccine","de"
"4","government","wenliang","wenliang","jinping","medium","buy","hotel","delivery","park","grocery","shop","shop","beach","salon","allow","outdoor","restaurant","restaurant","will","capacity","indoor","park","mask","mask","bar","passenger","order","de","distance","mandatory","order","outdoor","bar","indoor","pm","gathering","gathering","measure","region","french","lockdown","bar","bar","tier","pm","pm","shop","ban","test","uk","travel","open","hotel","australian","canada","test","will","will","spring","certificate","channel","screen","philippines","airport","police","air","supply","van","uk","ice","berman","hh","program","acip","apart","group","income","will","dose"
"5","president","police","medium","prison","face","government","build","order","delivery","walk","close","mayor","mask","shop","mask","school","distance","park","june","restriction","county","disney","will","restaurant","close","airline","indoor","indoor","event","outdoor","indoor","theater","county","outdoor","johnson","governor","curfew","minister","will","restaurant","england","pm","pm","allow","lockdown","close","restaurant","restriction","ban","flight","variant","test","hong","man","uk","lockdown","close","francis","air","spring","peskov","air","mcconnell","encourage","benefit","sii","send","variant","statement","agency","lab","strategic","scott","unemployment","therefore","include","household","ministry","vaccine"
"6","virus","anger","doctor","journal","response","australia","search","bar","food","supermarket","food","amazon","reopen","restaurant","park","distance","allow","june","restaurant","restaurant","allow","restaurant","close","mayor","outdoor","require","party","allow","will","issue","reopen","county","indoor","enter","will","allow","allow","uk","level","measure","measure","zone","will","restaurant","close","system","close","travel","country","restriction","flight","australian","flight","australia","passenger","authority","european","travel","push","passenger","word","mark","ardern","source","global","aid","ventilator","outbreak","lot","monitor","information","yearolds","small","claim","account","facility","child","blasio","city"
"7","response","lis","police","praise","wall","police","rescue","takeout","business","essential","wear","covering","allow","beach","wear","mask","space","allow","outdoor","will","park","phase","mayor","park","park","covering","business","gathering","beach","face","restaurant","will","mayor","sustain","restriction","limit","rule","england","curfew","announce","uk","curfew","close","gathering","allow","must","travel","traveler","passenger","positive","airline","positive","negative","home","negative","new","news","mask","traveler","thing","certificate","last","traveler","wear","fire","foreign","foreign","kerkhove","confidence","degree","barber","shipment","will","new","hear","low","get","de","mayor"
"8","official","whistleblower","party","expulsion","jinping","uk","people","will","bar","shop","island","garcetti","distance","store","distance","ease","phase","distance","capacity","limit","will","order","bar","miamidade","fine","cover","restaurant","mask","bogota","dine","will","capacity","will","pm","rule","must","close","tier","lockdown","bar","close","limit","lockdown","christmas","will","region","pm","kingdom","travel","south","must","tennis","traveler","south","travel","victoria","expense","passenger","back","test","russian","flight","republican","throughout","contamination","uk","uk","pledge","attack","brain","provide","national","adjust","program","become","one","survey","south","west"
"9","epidemic","social","speech","response","china","face","toilet","close","close","associate","employee","employee","meter","face","shop","wear","social","beach","resume","indoor","outdoor","indoor","july","allow","allow","restaurant","outdoor","social","mask","wear","mandatory","mask","order","reopen","tuesday","rule","maximum","face","prime","business","region","will","gym","toronto","region","activity","curfew","new","africa","negative","positive","passenger","home","positive","enter","restriction","place","quarantine","letter","fly","process","fly","friday","summer","france","flight","global","country","mumbai","spokesperson","receive","small","bill","show","adult","death","concern","africa","dos"
"10","chinese","censorship","whistleblower","whistleblower","emergency","customer","wilson","shop","service","business","grocery","los","foot","business","restriction","plan","class","bar","shop","open","gov","will","restaurant","wear","will","indoor","bar","janeiro","lopez","restaurant","county","task","restriction","must","close","reopen","limit","household","manchester","avoid","national","gym","curfew","business","ease","limit","will","country","flight","quarantine","country","melbourne","ban","player","ban","positive","introduce","permission","direction","tsa","tell","hogan","encourage","mask","energy","assistance","concentrator","aid","label","uk","small","provide","brief","pandemic","include","member","fiscus","make","age"
