"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","sars","baby","sars","surface","houlahan","school","school","school","school","order","order","order","school","reopen","reopen","reopen","reopen","reopen","reopen","reopen","reopen","reopen","beach","beach","indoor","mask","gym","mask","restaurant","mask","mask","theater","beach","indoor","canadian","event","restaurant","mask","mask","mask","county","tier","county","county","county","california","county","california","county","county","county","oxygen","county","pay","school","school","school","county","result","school","school","school","person","student","university","city","city","school","school","school","city","city","talk","little","swaminathan","strategy","syndrome","vaccine","fda"
"2","virus","infect","north","study","can","student","district","county","cuban","school","school","school","student","beach","school","school","school","allow","phase","capacity","allow","business","county","restaurant","restaurant","police","gathering","bar","mask","indoor","police","reopen","dine","mask","indoor","county","jenkins","limit","social","order","order","county","california","angeles","walke","county","california","angeles","california","los","hospital","patient","patient","kroger","student","transmission","county","mexico","challenge","cardona","student","will","student","school","campus","student","student","student","student","student","blasio","york","thank","quarter","still","people","vaccine","fda","vaccine"
"3","outbreak","sars","appear","sars","cat","hall","student","student","park","county","california","los","beach","salon","park","will","distance","park","allow","open","phase","restaurant","mayor","order","order","require","mask","rio","wear","local","distance","outdoor","mayor","gathering","must","restaurant","allow","public","distance","wear","voter","mask","los","los","angeles","san","san","hospital","patient","california","angeles","county","california","worker","return","cdc","red","california","novavax","reopen","fund","watch","learn","person","student","school","york","reopen","city","district","de","school","dr","american","cnns","closely","risk","review","approval"
"4","market","virus","hospital","publish","redfield","district","class","order","beach","church","newsom","angeles","distance","order","will","mask","restaurant","will","restaurant","outdoor","business","phase","will","wear","outdoor","indoor","order","distance","physical","order","must","distance","weekend","rule","mask","mask","outdoor","capacity","public","start","indoor","california","angeles","california","newsom","region","angeles","bed","angeles","angeles","patient","california","hospital","store","parent","learn","transmission","cdc","uk","teacher","learn","help","school","college","resident","york","school","library","teacher","blasio","mayor","mayor","comparison","compare","remember","cnns","janssen","authorization","food"
"5","infect","mother","respiratory","bank","respiratory","question","university","close","close","newsom","close","gov","california","school","beach","park","student","school","outdoor","allow","restaurant","will","order","will","city","restaurant","indoor","janeiro","gathering","outdoor","pm","allow","restaurant","will","costume","limit","oct","distance","limit","outdoor","mask","san","business","order","los","icu","los","county","screen","patient","los","manaus","symptom","angeles","district","county","zone","person","district","fund","person","fund","university","online","vaccination","blasio","jersey","return","ventilation","will","york","blasio","leadership","benefit","guard","drop","johnson","emergency","currently"
"6","people","respiratory","syndrome","scientist","research","town","will","san","student","california","angeles","newsom","close","restaurant","restaurant","student","allow","distance","will","limit","indoor","park","bar","mask","public","wear","party","de","business","wear","restaurant","event","allow","wear","year","seat","distance","outdoor","reopen","gottlieb","vote","move","curfew","wear","sheriff","southern","capacity","patient","hospital","hospital","california","amazonas","order","employee","learn","live","learn","learn","eight","grant","address","billion","instruction","puerto","germanys","de","employee","fall","test","campus","school","firework","return","acip","cant","screen","gbs","approval","review"
"7","respiratory","syndrome","much","animal","zhong","correspondent","closure","california","newsom","close","los","mayor","foot","open","allow","distance","space","bar","resume","store","mayor","july","restaurant","distance","bar","face","bar","mandate","distance","event","mandate","mask","indoor","reopen","wear","bar","limit","crowd","newsom","judge","protocol","indoor","indoor","newsom","quarantine","angeles","navajo","los","los","care","surge","hospital","experience","san","classroom","red","cdc","red","instruction","district","reopen","business","staff","learn","law","year","animal","mayor","require","virtual","positivity","de","student","white","encourage","layer","guillainbarré","company","say"
"8","rate","epidemic","many","syndrome","animal","answer","campus","shelter","order","angeles","park","stayhome","reopen","close","student","paris","class","phase","open","indoor","will","indoor","indoor","mayor","measure","will","face","indoor","local","issue","face","police","bar","city","bring","indoor","gathering","emergency","wear","detainee","stop","wear","arizona","alert","stayhome","los","newsom","care","care","surge","icu","angeles","region","prison","staff","child","class","consider","enrol","student","education","back","fulltime","black","bill","measure","mayor","district","person","fall","statistic","new","positivity","meet","pose","quickly","report","full","moderna"
"9","syndrome","outbreak","infect","find","sars","washington","online","northern","county","distance","church","garcetti","order","nail","distance","open","beach","june","school","phase","guideline","mayor","city","park","fine","city","zone","restriction","event","office","social","rule","close","business","de","suarez","open","restaurant","state","require","worker","order","outdoor","outdoor","california","capacity","order","surge","air","transport","unit","los","stayhome","hazard","francisco","guideline","person","official","encourage","funeral","district","thing","attend","gov","uc","college","good","community","kong","option","new","come","help","good","practice","state","fda","pfizer","authorization"
"10","china","young","korea","cash","severe","learn","spring","essential","background","gov","beach","california","will","limit","employee","allow","county","restaurant","capacity","bar","bar","disney","july","bar","dine","public","outdoor","face","face","mandatory","order","indoor","san","space","city","capacity","follow","state","order","public","public","help","restriction","stay","order","bed","region","stanford","day","southern","care","care","berlin","state","teacher","person","live","remain","source","fenton","putin","american","campus","work","rhode","resident","factor","elementary","instruction","learn","rate","macys","great","able","without","expect","million","trial","justice"
